Lambda,NullSigma,AltB,AltSigma
-0.0001804825303057811,0.5778294843516223,1.018824906405571,0.581866986971179
-3.835375754235315e-05,0.633139786645403,0.9946084864075407,0.635976310169438
-0.005920249401068389,0.5218429210109166,0.9076553507349383,0.5161014746490946
-0.00146042957249648,0.633139786645403,1.0430000139458713,0.6264433371791183
-0.010584870941501734,0.5670444898199374,1.0999841648818998,0.543299094338359
-0.0028955076779055844,0.6624579772413168,0.93548864,0.6624579772413169
-0.011999560934080833,0.6000976232774444,1.0999891014780931,0.5874388612118494
-0.0011351266080517064,0.6624579772413168,0.9424246474031001,0.659115673948375
-0.0006562383467123567,0.6435014423661926,0.9424246474031001,0.6656895901236127
-0.007013288929055506,0.6435014423661926,1.0997795600949416,0.6248408310174377
-0.01784191131964441,0.6624579772413168,0.9003576872529536,0.6888321872509129
-0.000960270884370118,0.5000000000000218,0.910795879424,0.5001575104850748
-0.002534696579244766,0.5000000000000218,1.073241531689318,0.5000499939445101
-0.006646883715925256,0.633139786645403,0.9000419589036246,0.6402050777356879
-0.0004597779430817184,0.6000976232774444,0.973064957008117,0.6067801804926235
-0.0017317698696501793,0.6624579772413168,1.0830598667735938,0.6916380732076391
-0.0013957257786163524,0.6223608608994301,0.9447832225405745,0.6341515923583533
0.0004673609133227785,0.6782787279930963,0.9801002512578676,0.6944457832584063
0.0004374156882267499,0.6782787279930963,1.0149686439562249,0.6944457832584063
-0.0012303644295634797,0.6782787279930963,1.065934959169667,0.6782787279930963
0.001974881872824241,0.6435014423661926,1.0149686439562249,0.6944457832584063
-0.0049716449457193335,0.5778294843516223,1.0745020176246676,0.5692268139049186
-0.0034521942569636366,0.6435014423661926,1.0965072849694621,0.6964855217827436
-0.0005450780225455532,0.611300384849876,1.017285529793954,0.5983434878792536
0.0034879346344975914,0.6223608608994301,1.0,0.6975329865741693
0.0005814051958523692,0.6223608608994301,0.9564356196848013,0.6484847727142367
0.008736283223125696,0.5000000000000218,0.9076553507349383,0.5161014746490946
-0.0013974029800500887,0.556674445049695,1.0235659986187715,0.5592209294324197
-5.957580991022837e-05,0.6999998092651973,0.9949937224940181,0.6993921315382148
0.0015267258938127526,0.5778294843516223,0.936450379170501,0.589591243559471
-0.0063649007254173995,0.5218429210109166,0.9000187427678997,0.5510730360583274
1.5582841204064835e-06,0.556674445049695,1.0089093321645888,0.5553354441891842
-0.0034053402721703208,0.6624579772413168,0.93548864,0.6624579772413169
-0.007518887433652921,0.611300384849876,0.9187481094480733,0.5988696995345678
-0.015218705397135324,0.5778294843516223,0.9000116325584432,0.5743909227372552
-0.0018530377091696693,0.633139786645403,0.9453390177607425,0.6411573300287658
3.332241579023787e-05,0.611300384849876,0.9708488186020638,0.6353646469002537
-0.009632489342159545,0.6624579772413168,1.0972113125391467,0.6533188076542297
-0.0029441109704535506,0.6223608608994301,1.063549620829499,0.5972912167734583
-0.004074478641623358,0.5888936325097899,1.0745020176246676,0.5692268139049186
-0.004707379379201626,0.5218429210109166,0.9032909023071563,0.5387985108704435
-0.0012993109774601663,0.633139786645403,1.0970974182252229,0.6967575794447115
-0.0028648173048466674,0.5218429210109166,0.9076553507349383,0.5161014746490946
-3.491301465885499e-05,0.6999998092651973,1.01,0.6999998092651973
-0.0011245503449064387,0.5218429210109166,0.9076553507349383,0.5480438507679919
0.0007203703841334175,0.5025103298208123,0.9076553507349383,0.5161014746490946
-0.0012843658278267611,0.6223608608994301,1.0424339622649887,0.6304789495675871
6.965869237696154e-05,0.6000976232774444,1.0160243439595862,0.5988171994319329
-0.007244556360147314,0.5218429210109166,1.0898175991231174,0.5271712965250288
0.002060700029931084,0.5218429210109166,0.9037542309310208,0.5203346153702202
-0.00518300493565782,0.6000976232774444,1.0996874143179765,0.5865372676418775
-0.00018162880104100054,0.5778294843516223,0.9391460733816018,0.6013255323003233
-0.010207251602645684,0.5468499214561168,0.9076553507349383,0.5480438507679919
8.922712378733877e-06,0.6901693932173218,0.9949937224940181,0.6975329865741693
-0.010489508383159318,0.6782787279930963,0.9004589260025807,0.6863145360203858
-0.004098336338092423,0.6782787279930963,0.9134433728114147,0.6993226645150146
0.0021484312706583353,0.6435014423661926,1.0,0.6975329865741693
0.003172095937735264,0.5000000000000218,0.905850099250971,0.5051640903556521
-0.002625617659075985,0.6999998092651973,0.9268567933267674,0.6997828128154745
-0.0008713673564972879,0.5888936325097899,1.0259920121687525,0.5805747458760588
0.00016493789774862933,0.5000000000000218,0.9006095512697052,0.5011607750352823
0.008834872019653162,0.5218429210109166,0.9076553507349383,0.5161014746490946
0.0001707937952719618,0.6223608608994301,0.9594170763075303,0.6506934834101257
-0.0010435127723553705,0.556674445049695,1.0235659986187715,0.5592209294324197
-0.0023584613313616387,0.6223608608994301,0.9317443026078261,0.6250873631480801
-0.0031028238754906567,0.6999998092651973,0.9220447520786863,0.6997531042801326
-0.004004138402235569,0.6435014423661926,1.0999292308524422,0.6349651620301167
-0.0012350403010170652,0.6533153622748634,1.0516788335890295,0.6542028497030599
0.0035915587860237963,0.6223608608994301,1.0149686439562249,0.6944457832584063
0.0003567436171465488,0.6435014423661926,0.9424246474031001,0.6568288944370039
-0.0003329651489973884,0.6435014423661926,0.9424246474031001,0.6568288944370039
-0.009210179853223366,0.5778294843516223,0.9000735430235868,0.592048494868083
1.9462462557129356e-06,0.5778294843516223,0.9338300219823387,0.6002730440718556
-0.003953712637812856,0.6435014423661926,0.9304400162775435,0.645426177627798
-0.008135301198530343,0.6901693932173218,0.9000764791327751,0.6986235402768761
-0.003919838213338522,0.633139786645403,1.0999569881089373,0.6372602403272709
1.8635543739264904e-05,0.6223608608994301,0.9980099751676157,0.629534813418393
0.017327708573686706,0.5218429210109166,0.9949937224940181,0.6975329865741693
0.0002891803252449421,0.6223608608994301,0.9564356196848013,0.6484847727142367
-0.012101317694680702,0.6223608608994301,1.099914378052851,0.5901843057431473
-0.0038453175491550695,0.6999998092651973,0.9142780149202878,0.6993921315382148
-0.00015040843302749352,0.556674445049695,1.0115559823674296,0.5571493487784488
-0.005134697637341645,0.6999998092651973,0.9000180158259137,0.6999904113539619
-0.0014740043014445092,0.6999998092651973,0.9453993074162904,0.6988661186562068
-0.009882707516423395,0.6782787279930963,0.9002524727238423,0.6940017373879583
-0.013324998505797936,0.6782787279930963,1.0999065160503028,0.69861789622991
-0.0032535569903959782,0.6624579772413168,0.93548864,0.6624579772413169
0.0003496000637195351,0.556674445049695,0.9247781147175119,0.5751016871197709
-0.003421004318925114,0.6435014423661926,1.0932402258851932,0.6266028380368398
0.011995255552667672,0.5778294843516223,1.0,0.6975329865741693
-0.004298858404366612,0.5218429210109166,1.0864904185000228,0.516527671467593
-0.003742918677936302,0.5670444898199374,0.9218414968930378,0.5758457112548592
-0.0026608466143205334,0.6435014423661926,0.9376359539731285,0.6370610805816862
-0.01767171574461024,0.6435014423661926,0.9000015569376595,0.6514622205375589
-0.0006197578941886661,0.5778294843516223,1.0248757046272405,0.5782145310195052
-0.007269988536696914,0.6624579772413168,1.098778828335322,0.65582924058453
-0.002086594536097053,0.6782787279930963,0.9424246474031001,0.675590232834255
-0.000541243771063904,0.6223608608994301,0.9422967504444295,0.6317293345882994
-0.005255884933299981,0.6000976232774444,1.0821932833332313,0.5885232468753704
-0.003866657575740007,0.6223608608994301,0.93447787699147,0.6347485664385246
